symbol,rsi,volume,trend,momentum,result,pnl,timestamp
ANKRUSDT,37.500000000000036,0.17350076114189278,1,4.3800000000000956e-05,1,3.2323,1774749666
CUSDT,37.09677419354834,2.648407537985414,1,0.0007379999999999887,0,-2.1027,1774752793
IDEXUSDT,38.000000000000014,1.9876149932473286,0,-4.399999999999977e-05,0,-3.2821,1774753126
IDEXUSDT,29.0,0.034204143214692465,0,-0.00015820000000000027,1,7.5294,1774753818
CUSDT,22.580645161290178,1.9355264327298725,0,-0.0018460000000000004,0,-1.3193,1774755169
IDEXUSDT,39.189189189189186,1.324398627695144,0,-1.660000000000073e-05,0,-3.8794,1774755835
ANKRUSDT,31.2499999999999,0.40733045087690417,1,3.5400000000000535e-05,1,1.0346,1774756164
BANANAS31USDT,36.99731903485251,1.2323558155156873,1,4.381999999999997e-05,0,-0.8435,1774756995
PIXELUSDT,23.5294117647054,0.08916072159379462,0,-8.38000000000002e-05,0,-0.7168,1774758642
PIXELUSDT,25.92592592592574,0.0,0,-0.00014980000000000028,0,-0.9639,1774760107
PENGUUSDT,24.44444444444487,1.2529202633350618,1,5.6600000000002135e-06,0,-0.2249,1774760599
STOUSDT,33.49282296650716,4.881551440067691,1,0.0038860000000000006,1,1.6671,1774760930
ADAUSDT,27.499999999999915,18.43655768065053,0,-0.0016540000000000166,1,0.3494,1774761600
币安人生USDT,14.285714285714562,2.1289871553461044,0,-0.00034799999999999415,1,9.6344,1774765446
GUNUSDT,29.166666666666544,2.2193243217998115,0,-0.0002280000000000025,1,1.7885,1774766917
ZKUSDT,23.076923076923492,2.8528608783850777,0,-0.00014059999999999767,1,0.1929,1774768057
CHZUSDT,34.93975903614451,0.10363043041194558,0,-0.0001875999999999961,0,-0.3947,1774768548
A2ZUSDT,35.999999999999986,4.522283859421536,0,-9.14000000000001e-06,1,1.9318,1774770681
ANKRUSDT,39.02439024390244,3.1161324559267127,1,4.160000000000101e-05,0,-2.0834,1774772640
NIGHTUSDT,26.146788990825712,1.4051156813294252,0,-0.001084599999999998,0,-1.5342,1774773128
HUMAUSDT,17.592592592592766,1.8595095246356776,0,-0.0008754000000000001,0,-1.6441,1774774422
ANKRUSDT,35.71428571428564,0.010693401503611302,0,-4.740000000000039e-05,0,-3.5776,1774776348
HUMAUSDT,28.723404255319295,1.5289433497482798,0,-0.0009730000000000016,0,-0.846,1774776507
